Rank	Latitude	Longitude
1	12.95530	77.70577
2	12.95537	77.70576
3	12.95543	77.70576
4	12.95548	77.70575
5	12.95553	77.70574
6	12.95559	77.70573
7	12.95565	77.70572
8	12.95572	77.70572
9	12.95578	77.70571
10	12.95583	77.70570
11	12.95589	77.70570
12	12.95595	77.70569
13	12.95600	77.70569
14	12.95607	77.70569
15	12.95612	77.70569
16	12.95618	77.70568
17	12.95624	77.70567
18	12.95630	77.70565
19	12.95635	77.70563
20	12.95641	77.70562
21	12.95647	77.70562
22	12.95653	77.70561
23	12.95659	77.70560
24	12.95664	77.70560
25	12.95671	77.70558
26	12.95677	77.70557
27	12.95682	77.70556
28	12.95689	77.70555
29	12.95695	77.70554
30	12.95701	77.70553
31	12.95707	77.70553
32	12.95713	77.70552
33	12.95720	77.70551
34	12.95725	77.70550
35	12.95732	77.70549
36	12.95738	77.70548
37	12.95745	77.70547
38	12.95751	77.70547
39	12.95756	77.70546
40	12.95762	77.70545
41	12.95768	77.70545
42	12.95774	77.70543
43	12.95780	77.70543
44	12.95785	77.70542
45	12.95792	77.70542
46	12.95798	77.70541
47	12.95803	77.70540
48	12.95809	77.70539
49	12.95815	77.70538
50	12.95821	77.70538
51	12.95826	77.70536
52	12.95832	77.70536
53	12.95838	77.70535
54	12.95844	77.70534
55	12.95851	77.70534
56	12.95856	77.70533
57	12.95863	77.70532
58	12.95869	77.70531
59	12.95867	77.70525
60	12.95866	77.70520
61	12.95866	77.70515
62	12.95865	77.70510
63	12.95864	77.70504
64	12.95864	77.70499
65	12.95864	77.70493
66	12.95863	77.70488
67	12.95862	77.70482
68	12.95861	77.70476
69	12.95861	77.70469
70	12.95860	77.70463
71	12.95859	77.70458
72	12.95859	77.70451
73	12.95858	77.70445
74	12.95856	77.70439
75	12.95855	77.70433
76	12.95854	77.70427
77	12.95852	77.70422
78	12.95851	77.70417
79	12.95849	77.70411
80	12.95848	77.70405
81	12.95846	77.70400
82	12.95844	77.70395
83	12.95842	77.70388
84	12.95841	77.70383
85	12.95839	77.70377
86	12.95837	77.70372
87	12.95835	77.70366
88	12.95834	77.70360
89	12.95832	77.70354
90	12.95830	77.70348
91	12.95827	77.70342
92	12.95825	77.70337
93	12.95823	77.70331
94	12.95822	77.70325
95	12.95820	77.70320
96	12.95818	77.70315
97	12.95816	77.70310
98	12.95815	77.70304
99	12.95813	77.70298
100	12.95811	77.70292
101	12.95808	77.70286
102	12.95805	77.70280
103	12.95799	77.70277
104	12.95793	77.70278
105	12.95787	77.70278
106	12.95780	77.70277
107	12.95773	77.70275
108	12.95768	77.70273
109	12.95762	77.70272
110	12.95756	77.70270
111	12.95750	77.70268
112	12.95744	77.70267
113	12.95738	77.70266
114	12.95733	77.70265
115	12.95726	77.70264
116	12.95720	77.70265
117	12.95714	77.70265
118	12.95709	77.70262
119	12.95707	77.70257
120	12.95705	77.70251
121	12.95705	77.70245
122	12.95704	77.70240
123	12.95704	77.70235
124	12.95704	77.70230
125	12.95705	77.70225
126	12.95711	77.70221
127	12.95717	77.70220
128	12.95723	77.70220
129	12.95730	77.70220
130	12.95736	77.70220
131	12.95741	77.70221
132	12.95747	77.70221
133	12.95753	77.70221
134	12.95759	77.70222
135	12.95765	77.70222
136	12.95771	77.70223
137	12.95777	77.70223
138	12.95782	77.70224
139	12.95787	77.70224
140	12.95794	77.70225
141	12.95800	77.70226
142	12.95806	77.70226
143	12.95812	77.70226
144	12.95819	77.70226
145	12.95824	77.70226
146	12.95830	77.70227
147	12.95835	77.70229
148	12.95841	77.70231
149	12.95846	77.70231
150	12.95852	77.70233
151	12.95857	77.70234
152	12.95863	77.70236
153	12.95870	77.70238
154	12.95876	77.70240
155	12.95882	77.70241
156	12.95888	77.70242
157	12.95894	77.70244
158	12.95900	77.70245
159	12.95907	77.70247
160	12.95913	77.70248
161	12.95919	77.70249
162	12.95925	77.70249
163	12.95931	77.70250
164	12.95937	77.70251
165	12.95943	77.70252
166	12.95949	77.70253
167	12.95955	77.70253
168	12.95960	77.70253
169	12.95965	77.70254
170	12.95971	77.70255
171	12.95976	77.70255
172	12.95981	77.70256
173	12.95988	77.70258
174	12.95995	77.70259
175	12.96000	77.70259
176	12.96006	77.70259
177	12.96012	77.70260
178	12.96018	77.70261
179	12.96024	77.70261
180	12.96029	77.70262
181	12.96036	77.70262
182	12.96041	77.70263
183	12.96046	77.70264
184	12.96052	77.70265
185	12.96058	77.70266
186	12.96065	77.70267
187	12.96071	77.70267
188	12.96076	77.70267
189	12.96082	77.70267
190	12.96088	77.70268
191	12.96095	77.70269
192	12.96100	77.70271
193	12.96105	77.70273
194	12.96111	77.70275
195	12.96117	77.70277
196	12.96123	77.70279
197	12.96128	77.70281
198	12.96135	77.70282
199	12.96141	77.70284
200	12.96147	77.70285
201	12.96152	77.70286
202	12.96158	77.70287
203	12.96165	77.70288
204	12.96171	77.70289
205	12.96177	77.70290
206	12.96184	77.70291
207	12.96189	77.70292
208	12.96194	77.70293
209	12.96201	77.70293
210	12.96207	77.70293
211	12.96213	77.70293
212	12.96219	77.70295
213	12.96225	77.70296
214	12.96231	77.70297
215	12.96237	77.70298
216	12.96243	77.70300
217	12.96249	77.70302
218	12.96254	77.70303
219	12.96260	77.70305
220	12.96266	77.70305
221	12.96272	77.70307
222	12.96278	77.70308
223	12.96284	77.70308
224	12.96290	77.70310
225	12.96295	77.70310
226	12.96301	77.70311
227	12.96307	77.70312
228	12.96314	77.70312
229	12.96320	77.70313
230	12.96326	77.70314
231	12.96332	77.70315
232	12.96338	77.70315
233	12.96345	77.70315
234	12.96351	77.70315
235	12.96356	77.70314
236	12.96363	77.70314
237	12.96369	77.70314
238	12.96376	77.70314
239	12.96374	77.70308
240	12.96370	77.70303
241	12.96366	77.70298
242	12.96361	77.70292
243	12.96354	77.70287
244	12.96348	77.70282
245	12.96342	77.70279
246	12.96336	77.70274
247	12.96330	77.70270
248	12.96323	77.70264
249	12.96318	77.70260
250	12.96313	77.70255
251	12.96307	77.70251
252	12.96302	77.70246
253	12.96296	77.70242
254	12.96291	77.70236
255	12.96286	77.70230
256	12.96282	77.70224
257	12.96280	77.70219
258	12.96277	77.70214
259	12.96274	77.70208
260	12.96269	77.70202
261	12.96264	77.70196
262	12.96260	77.70190
263	12.96255	77.70183
264	12.96251	77.70178
265	12.96247	77.70173
266	12.96243	77.70166
267	12.96239	77.70161
268	12.96234	77.70155
269	12.96230	77.70149
270	12.96227	77.70144
271	12.96224	77.70139
272	12.96221	77.70133
273	12.96218	77.70127
274	12.96214	77.70121
275	12.96212	77.70116
276	12.96209	77.70110
277	12.96206	77.70105
278	12.96203	77.70099
279	12.96200	77.70094
280	12.96197	77.70088
281	12.96194	77.70082
282	12.96191	77.70076
283	12.96189	77.70070
284	12.96188	77.70064
285	12.96187	77.70057
286	12.96186	77.70052
287	12.96185	77.70046
288	12.96185	77.70040
289	12.96185	77.70035
290	12.96185	77.70029
291	12.96185	77.70023
292	12.96184	77.70016
293	12.96183	77.70010
294	12.96178	77.70005
295	12.96174	77.69999
296	12.96171	77.69994
297	12.96168	77.69988
298	12.96165	77.69982
299	12.96163	77.69977
300	12.96161	77.69971
301	12.96158	77.69965
302	12.96155	77.69958
303	12.96152	77.69953
304	12.96150	77.69947
305	12.96147	77.69941
306	12.96145	77.69935
307	12.96142	77.69930
308	12.96140	77.69925
309	12.96138	77.69919
310	12.96136	77.69913
311	12.96134	77.69907
312	12.96132	77.69901
313	12.96131	77.69896
314	12.96129	77.69890
315	12.96126	77.69885
316	12.96124	77.69879
317	12.96121	77.69873
318	12.96119	77.69867
319	12.96116	77.69862
320	12.96115	77.69856
321	12.96113	77.69851
322	12.96111	77.69844
323	12.96109	77.69838
324	12.96107	77.69832
325	12.96104	77.69827
326	12.96102	77.69822
327	12.96098	77.69816
328	12.96094	77.69811
329	12.96089	77.69805
330	12.96087	77.69799
331	12.96083	77.69793
332	12.96080	77.69787
333	12.96075	77.69781
334	12.96072	77.69776
335	12.96069	77.69771
336	12.96067	77.69766
337	12.96064	77.69760
338	12.96061	77.69755
339	12.96058	77.69749
340	12.96055	77.69744
341	12.96053	77.69738
342	12.96050	77.69733
343	12.96046	77.69727
344	12.96044	77.69721
345	12.96040	77.69714
